order_id,cust_id,order_date,quantity,sale_price,status
5059,133,2024-05-19,3,765.99,shipped
5060,378,2024-02-01,5,1234.5,shipped
5061,227,2024-02-03,2,1234.5,PENDING
5062,236,2024-02-01,3,818.99,shipped
5063,338,2024-05-19,1,1234.5,PENDING
5064,31,2024-02-01,5,1234.5,PENDING
5065,337,2024-05-19,2,1234.5,shipped
5066,135,2024-05-19,1,257.99,PENDING
5067,105,2024-02-03,1,1234.5,PENDING
5068,256,2024-02-01,5,819.99,PENDING
5069,394,2024-02-03,2,1234.5,PENDING
5070,46,2024-02-03,1,507.99,shipped
5071,164,2024-05-19,5,1234.5,shipped
5072,297,2024-02-01,2,1234.5,shipped
5073,400,2024-02-03,2,455.99,PENDING
5074,351,2024-02-01,1,165.99,shipped
5075,155,2024-02-01,5,1234.5,shipped
5076,385,2024-02-01,1,1234.5,shipped
5077,213,2024-02-03,1,1234.5,shipped
5078,300,2024-02-01,2,821.99,shipped
5079,70,2024-05-19,5,1234.5,shipped
5080,373,2024-02-01,1,1234.5,shipped
5081,57,2024-02-01,1,1234.5,shipped
5082,92,2024-02-01,5,161.99,PENDING
5083,430,2024-02-03,1,367.99,shipped
5084,375,2024-02-01,3,730.99,shipped
5085,136,2024-02-03,1,999.99,shipped
5086,261,2024-02-01,1,1234.5,PENDING
5087,6,2024-02-03,1,1234.5,PENDING
5088,281,2024-02-03,1,1234.5,PENDING
5089,217,2024-02-03,5,1234.5,shipped
5090,199,2024-02-03,1,833.99,shipped
5091,123,2024-05-19,5,1234.5,PENDING
5092,124,2024-02-01,1,98.99,shipped
5093,208,2024-05-19,5,1234.5,PENDING
5094,234,2024-05-19,1,1234.5,PENDING
5095,304,2024-05-19,1,1234.5,PENDING
5096,365,2024-02-01,1,1234.5,PENDING
5097,37,2024-05-19,5,690.99,PENDING
5098,135,2024-02-03,3,1234.5,shipped
5099,73,2024-02-01,5,382.99,shipped
5100,417,2024-02-03,2,699.99,shipped
5101,421,2024-05-19,1,191.99,PENDING
5102,196,2024-02-03,1,1234.5,shipped
5103,360,2024-02-03,1,1234.5,PENDING
5104,340,2024-05-19,5,1234.5,shipped
5105,141,2024-02-03,3,466.99,PENDING
5106,325,2024-02-03,2,787.99,shipped
5107,349,2024-02-01,3,510.99,PENDING
5108,268,2024-02-03,1,268.99,shipped
5109,1,2024-05-19,3,69.99,PENDING
5110,368,2024-05-19,3,1234.5,PENDING
5111,124,2024-02-03,1,1234.5,shipped
5112,104,2024-02-01,1,1234.5,PENDING
5113,23,2024-05-19,1,1234.5,shipped
5114,365,2024-02-03,1,1234.5,PENDING
5115,123,2024-02-03,5,142.99,PENDING
5116,33,2024-05-19,2,347.99,shipped
5117,388,2024-02-03,1,1234.5,PENDING
5118,330,2024-02-01,1,1234.5,PENDING
5119,359,2024-02-03,1,494.99,shipped
5120,226,2024-02-03,1,148.99,shipped
5121,380,2024-02-01,1,564.99,PENDING
5122,284,2024-02-03,1,1234.5,shipped
5123,47,2024-02-01,1,594.99,shipped
5124,255,2024-02-01,2,1234.5,shipped
5125,422,2024-05-19,2,1234.5,PENDING
5126,29,2024-05-19,1,873.99,PENDING
5127,419,2024-02-01,2,1234.5,shipped
5128,266,2024-02-01,2,1234.5,PENDING
5129,45,2024-02-03,1,1234.5,PENDING
5130,262,2024-02-03,1,1234.5,shipped
5131,195,2024-02-03,5,1234.5,shipped
5132,68,2024-02-01,2,1234.5,PENDING
5133,337,2024-02-03,5,1234.5,PENDING
5134,103,2024-02-03,5,689.99,PENDING
5135,5,2024-05-19,1,1234.5,shipped
5136,141,2024-02-01,1,308.99,shipped
5137,411,2024-05-19,5,1234.5,PENDING
5138,105,2024-02-01,1,1234.5,shipped
5139,26,2024-02-01,1,1234.5,shipped
5140,8,2024-05-19,5,764.99,PENDING
5141,114,2024-05-19,3,831.99,shipped
5142,75,2024-05-19,2,538.99,PENDING
5143,49,2024-02-01,1,983.99,PENDING
5144,115,2024-05-19,3,1234.5,PENDING
5145,80,2024-02-01,2,52.99,PENDING
5146,151,2024-02-01,5,1234.5,shipped
5147,159,2024-02-03,3,571.99,shipped
5148,410,2024-05-19,2,410.99,PENDING
5149,195,2024-02-01,3,238.99,shipped
5150,238,2024-02-01,2,1234.5,PENDING
5151,59,2024-02-01,3,135.99,shipped
5152,149,2024-02-03,3,1234.5,shipped
5153,103,2024-02-03,3,1234.5,shipped
5154,104,2024-02-01,1,287.99,PENDING
5155,17,2024-05-19,5,113.99,PENDING
5156,100,2024-02-01,3,61.99,PENDING
5157,180,2024-02-03,1,1234.5,PENDING
5158,92,2024-02-01,3,838.99,PENDING
5159,49,2024-05-19,5,125.99,PENDING
5160,237,2024-02-01,1,50.99,PENDING
5161,332,2024-05-19,2,1234.5,shipped
5162,192,2024-05-19,2,378.99,shipped
5163,170,2024-02-01,1,320.99,PENDING
5164,49,2024-02-01,2,129.99,PENDING
5165,139,2024-05-19,5,1234.5,PENDING
5166,126,2024-02-01,5,558.99,PENDING
5167,188,2024-02-01,3,423.99,shipped
5168,123,2024-05-19,5,523.99,shipped
5169,8,2024-02-01,1,510.99,shipped
5170,45,2024-02-01,2,1234.5,shipped
5171,218,2024-02-03,5,540.99,PENDING
5172,292,2024-02-01,1,689.99,shipped
5173,125,2024-05-19,5,737.99,shipped
5174,38,2024-05-19,3,110.99,shipped
5175,317,2024-05-19,2,1234.5,PENDING
5176,44,2024-02-03,5,952.99,shipped
5177,163,2024-02-03,1,43.99,shipped
5178,76,2024-05-19,5,705.99,shipped
5179,409,2024-02-03,2,218.99,shipped
5180,352,2024-02-03,1,1234.5,shipped
5181,255,2024-05-19,3,939.99,shipped
5182,102,2024-05-19,1,1234.5,PENDING
5183,48,2024-05-19,3,606.99,PENDING
5184,345,2024-05-19,1,1234.5,PENDING
5185,28,2024-05-19,1,862.99,PENDING
5186,198,2024-05-19,5,316.99,shipped
5187,401,2024-02-03,2,255.99,PENDING
5188,288,2024-02-01,1,598.99,PENDING
5189,340,2024-02-03,3,1234.5,PENDING
5190,45,2024-02-01,3,1234.5,PENDING
5191,3,2024-02-03,1,628.99,shipped
5192,416,2024-02-03,1,1234.5,PENDING
5193,75,2024-02-03,5,228.99,PENDING
5194,202,2024-02-03,5,1234.5,PENDING
5195,46,2024-02-03,2,1234.5,PENDING
5196,339,2024-05-19,2,133.99,shipped
5197,193,2024-02-01,1,1234.5,shipped
5198,186,2024-02-01,2,1234.5,PENDING
5199,256,2024-02-03,5,819.99,shipped
5200,201,2024-05-19,1,10.99,shipped
5201,126,2024-02-03,5,1234.5,PENDING
5202,347,2024-02-01,5,1234.5,shipped
5203,386,2024-02-03,1,1234.5,PENDING
5204,137,2024-02-03,3,1234.5,shipped
5205,336,2024-02-03,1,382.99,shipped
5206,428,2024-05-19,1,1234.5,PENDING
5207,160,2024-05-19,2,1234.5,shipped
5208,167,2024-02-03,2,1234.5,shipped
5209,97,2024-05-19,5,530.99,PENDING
5210,89,2024-05-19,5,1234.5,shipped
5211,150,2024-05-19,1,1234.5,shipped
5212,413,2024-05-19,1,1234.5,PENDING
5213,166,2024-02-01,5,517.99,PENDING
5214,72,2024-02-01,5,836.99,shipped
5215,158,2024-05-19,5,1234.5,shipped
5216,301,2024-02-03,1,1234.5,shipped
5217,140,2024-02-03,1,1234.5,PENDING
5218,207,2024-02-01,3,1234.5,PENDING
5219,198,2024-02-03,3,125.99,PENDING
5220,257,2024-02-03,2,1234.5,shipped
5221,78,2024-02-03,5,1234.5,shipped
5222,141,2024-02-03,3,1234.5,PENDING
5223,323,2024-02-01,3,470.99,shipped
5224,273,2024-05-19,5,1234.5,PENDING
5225,136,2024-02-01,1,906.99,PENDING
5226,428,2024-05-19,1,1234.5,shipped
5227,331,2024-02-01,1,1234.5,PENDING
5228,405,2024-05-19,3,1234.5,PENDING
5229,413,2024-02-03,3,895.99,shipped
5230,273,2024-05-19,5,1234.5,shipped
5231,110,2024-02-03,1,1234.5,shipped
5232,258,2024-02-01,5,693.99,PENDING
5233,207,2024-02-01,5,1234.5,shipped
5234,78,2024-02-01,2,522.99,PENDING
5235,18,2024-05-19,1,1234.5,shipped
5236,332,2024-05-19,1,1234.5,shipped
5237,396,2024-05-19,5,1234.5,shipped
5238,115,2024-02-03,1,378.99,PENDING
5239,12,2024-05-19,5,83.99,PENDING
5240,112,2024-02-01,1,654.99,PENDING
5241,141,2024-05-19,1,466.99,shipped
5242,276,2024-02-03,1,505.99,PENDING
5243,323,2024-02-03,3,553.99,shipped
5244,285,2024-02-01,3,869.99,shipped
5245,399,2024-02-01,1,1234.5,PENDING
5246,192,2024-02-01,3,751.99,shipped
5247,205,2024-02-03,5,1234.5,shipped
5248,342,2024-02-01,3,1234.5,PENDING
5249,37,2024-05-19,1,599.99,PENDING
5250,233,2024-05-19,5,475.99,PENDING
5251,316,2024-02-01,1,422.99,PENDING
5252,389,2024-02-01,1,763.99,PENDING
5253,399,2024-02-01,2,1234.5,shipped
5254,287,2024-05-19,3,775.99,shipped
5255,33,2024-02-03,2,437.99,PENDING
5256,286,2024-02-03,2,1234.5,PENDING
5257,157,2024-02-01,1,767.99,PENDING
5258,216,2024-02-01,1,801.99,PENDING
5259,55,2024-02-01,3,1234.5,PENDING
5260,43,2024-02-03,3,497.99,shipped
5261,271,2024-05-19,3,1234.5,shipped
5262,182,2024-02-03,1,970.99,PENDING
5263,418,2024-05-19,1,1234.5,shipped
5264,416,2024-02-03,2,151.99,shipped
5265,110,2024-05-19,5,1234.5,shipped
5266,5,2024-02-01,1,809.99,shipped
5267,294,2024-05-19,1,1234.5,PENDING
5268,320,2024-05-19,1,506.99,shipped
5269,125,2024-02-01,3,401.99,shipped
5270,303,2024-02-01,2,1234.5,PENDING
5271,390,2024-02-01,5,751.99,PENDING
5272,87,2024-02-03,2,1234.5,PENDING
5273,311,2024-02-01,1,1234.5,PENDING
5274,33,2024-05-19,2,829.99,shipped
5275,201,2024-05-19,2,659.99,shipped
5276,49,2024-02-01,1,1234.5,shipped
5277,206,2024-02-01,2,803.99,PENDING
5278,135,2024-02-01,2,489.99,PENDING
5279,388,2024-02-01,1,201.99,shipped
5280,316,2024-05-19,3,1234.5,shipped
5281,37,2024-02-01,5,673.99,shipped
5282,362,2024-02-01,5,1234.5,PENDING
5283,204,2024-05-19,1,583.99,shipped
5284,96,2024-05-19,1,223.99,shipped
5285,344,2024-02-03,1,637.99,PENDING
5286,347,2024-02-01,1,757.99,shipped
5287,46,2024-02-03,3,1234.5,PENDING
5288,76,2024-02-03,5,1234.5,shipped
5289,4,2024-02-01,1,54.99,shipped
5290,267,2024-02-03,1,427.99,shipped
5291,12,2024-02-01,1,696.99,PENDING
5292,411,2024-02-01,2,1234.5,PENDING
5293,131,2024-05-19,2,1234.5,PENDING
5294,15,2024-02-03,1,106.99,PENDING
5295,84,2024-05-19,1,1234.5,PENDING
5296,412,2024-02-01,1,432.99,PENDING
5297,119,2024-05-19,3,1234.5,shipped
5298,395,2024-02-01,3,823.99,shipped
5299,54,2024-02-01,3,1234.5,PENDING
