customer_id,tenure_months,monthly_charges,contract_type,payment_method,internal_record_number,raw_import_timestamp,churn
65,26,56.06,One year,Bank,900065,2024-01-01,True
66,51,60.9,One year,Card,900066,2024-01-01,True
67,62,117.46,Two year,Cash,900067,2024-01-01,False
68,23,36.56,Month-to-month,Bank,900068,2024-01-01,False
69,8,64.55,Two year,Cash,900069,2024-01-01,False
70,5,98.32,Two year,Cash,900070,2024-01-01,False
71,2,65.16,Month-to-month,Cash,900071,2024-01-01,True
72,44,86.02,Two year,Card,900072,2024-01-01,False
73,7,111.48,Two year,Cash,900073,2024-01-01,True
74,19,69.68,Two year,Bank,900074,2024-01-01,False
75,21,89.07,Month-to-month,Cash,900075,2024-01-01,False
76,66,113.87,One year,Bank,900076,2024-01-01,False
77,25,76.99,Two year,Cash,900077,2024-01-01,False
78,53,53.38,One year,Cash,900078,2024-01-01,True
79,21,51.63,One year,Card,900079,2024-01-01,False
80,35,119.35,Month-to-month,Cash,900080,2024-01-01,True
81,1,119.08,Two year,Bank,900081,2024-01-01,True
82,41,84.25,Two year,Bank,900082,2024-01-01,False
83,44,35.85,Two year,Bank,900083,2024-01-01,False
84,36,105.85,Month-to-month,Bank,900084,2024-01-01,False
85,6,34.91,Month-to-month,Cash,900085,2024-01-01,True
86,54,110.72,Two year,Cash,900086,2024-01-01,False
87,55,90.5,Month-to-month,Card,900087,2024-01-01,False
88,18,30.29,One year,Card,900088,2024-01-01,False
89,56,64.18,Two year,Bank,900089,2024-01-01,False
90,11,93.03,Two year,Bank,900090,2024-01-01,False
91,13,23.57,Two year,Bank,900091,2024-01-01,False
92,28,26.5,One year,Bank,900092,2024-01-01,False
93,48,40.57,Two year,Cash,900093,2024-01-01,False
94,68,62.68,Two year,Cash,900094,2024-01-01,False
95,36,65.62,One year,Bank,900095,2024-01-01,False
96,61,115.83,Month-to-month,Cash,900096,2024-01-01,False
97,19,101.13,One year,Card,900097,2024-01-01,False
98,70,93.69,Month-to-month,Bank,900098,2024-01-01,False
99,49,105.79,One year,Cash,900099,2024-01-01,False
100,5,64.48,Month-to-month,Card,900100,2024-01-01,True
101,11,105.14,Month-to-month,Card,900101,2024-01-01,True
102,60,80.07,Two year,Card,900102,2024-01-01,False
103,38,54.32,Two year,Card,900103,2024-01-01,False
104,18,84.52,Month-to-month,Cash,900104,2024-01-01,False
105,24,103.83,One year,Bank,900105,2024-01-01,False
106,22,36.38,Month-to-month,Bank,900106,2024-01-01,False
107,29,45.02,Month-to-month,Card,900107,2024-01-01,True
108,21,110.64,Two year,Bank,900108,2024-01-01,False
109,9,83.08,Two year,Cash,900109,2024-01-01,False
110,57,41.22,One year,Bank,900110,2024-01-01,False
111,41,88.2,Two year,Bank,900111,2024-01-01,False
112,30,85.26,One year,Cash,900112,2024-01-01,False
113,26,112.32,Month-to-month,Cash,900113,2024-01-01,False
114,16,75.41,One year,Card,900114,2024-01-01,False
115,18,109.89,One year,Bank,900115,2024-01-01,False
116,35,76.32,Month-to-month,Cash,900116,2024-01-01,False
117,64,96.19,Two year,Bank,900117,2024-01-01,True
118,21,54.28,Month-to-month,Bank,900118,2024-01-01,False
119,49,115.98,Month-to-month,Bank,900119,2024-01-01,False
120,37,116.68,One year,Cash,900120,2024-01-01,False
121,71,37.82,Month-to-month,Bank,900121,2024-01-01,False
122,27,65.83,One year,Bank,900122,2024-01-01,False
123,48,76.3,Two year,Cash,900123,2024-01-01,False
124,47,68.07,Two year,Card,900124,2024-01-01,False
125,70,115.81,Two year,Cash,900125,2024-01-01,True
126,23,56.03,Two year,Card,900126,2024-01-01,False
127,39,49.31,Two year,Card,900127,2024-01-01,False
128,9,62.05,Month-to-month,Cash,900128,2024-01-01,True
129,10,40.58,Two year,Cash,900129,2024-01-01,False
130,16,95.32,Month-to-month,Cash,900130,2024-01-01,False
131,15,88.42,Month-to-month,Card,900131,2024-01-01,False
132,1,46.66,One year,Card,900132,2024-01-01,False
133,36,51.3,Two year,Cash,900133,2024-01-01,False
134,2,71.52,One year,Cash,900134,2024-01-01,False
135,69,102.43,Month-to-month,Cash,900135,2024-01-01,False
136,26,118.82,Month-to-month,Card,900136,2024-01-01,False
137,27,113.21,One year,Cash,900137,2024-01-01,False
138,66,115.64,Two year,Bank,900138,2024-01-01,False
139,52,119.27,Month-to-month,Card,900139,2024-01-01,False
140,55,31.05,Two year,Bank,900140,2024-01-01,False
141,66,34.79,One year,Cash,900141,2024-01-01,True
142,3,115.36,Month-to-month,Bank,900142,2024-01-01,True
143,69,85.34,Month-to-month,Bank,900143,2024-01-01,False
144,47,75.13,One year,Bank,900144,2024-01-01,False
145,33,74.35,Month-to-month,Card,900145,2024-01-01,False
146,20,34.94,Two year,Card,900146,2024-01-01,False
147,21,50.93,Two year,Cash,900147,2024-01-01,False
148,13,76.05,One year,Bank,900148,2024-01-01,False
149,70,95.0,Two year,Card,900149,2024-01-01,False
150,31,62.27,Month-to-month,Card,900150,2024-01-01,False
151,31,109.54,One year,Card,900151,2024-01-01,False
152,12,103.48,Two year,Bank,900152,2024-01-01,False
153,55,53.55,Month-to-month,Card,900153,2024-01-01,False
154,7,65.26,Two year,Card,900154,2024-01-01,False
155,5,80.4,Month-to-month,Card,900155,2024-01-01,True
156,9,45.98,One year,Card,900156,2024-01-01,False
157,44,84.88,One year,Bank,900157,2024-01-01,False
158,10,71.22,One year,Card,900158,2024-01-01,False
159,20,37.21,One year,Bank,900159,2024-01-01,False
160,14,90.62,One year,Card,900160,2024-01-01,False
161,6,69.78,Two year,Cash,900161,2024-01-01,False
162,21,101.87,Month-to-month,Bank,900162,2024-01-01,False
163,65,23.96,Month-to-month,Card,900163,2024-01-01,False
164,67,94.25,Two year,Card,900164,2024-01-01,False
165,66,60.44,Month-to-month,Cash,900165,2024-01-01,False
166,27,63.33,Two year,Bank,900166,2024-01-01,False
167,12,44.02,One year,Card,900167,2024-01-01,False
168,29,86.19,Month-to-month,Card,900168,2024-01-01,False
169,53,28.78,Two year,Bank,900169,2024-01-01,False
170,47,53.5,One year,Cash,900170,2024-01-01,False
171,43,42.26,One year,Bank,900171,2024-01-01,False
172,56,26.91,Month-to-month,Card,900172,2024-01-01,False
173,8,74.3,One year,Cash,900173,2024-01-01,False
174,13,58.24,Two year,Bank,900174,2024-01-01,True
175,33,39.4,Two year,Bank,900175,2024-01-01,False
176,58,49.19,Two year,Bank,900176,2024-01-01,False
177,17,34.13,One year,Bank,900177,2024-01-01,True
178,17,86.0,Month-to-month,Cash,900178,2024-01-01,False
179,24,77.81,Two year,Card,900179,2024-01-01,False
180,10,31.29,One year,Card,900180,2024-01-01,False
181,7,42.1,Two year,Bank,900181,2024-01-01,False
182,45,37.05,One year,Bank,900182,2024-01-01,True
183,36,36.18,One year,Bank,900183,2024-01-01,False
184,23,20.36,Month-to-month,Cash,900184,2024-01-01,False
185,56,106.47,Two year,Card,900185,2024-01-01,False
186,34,91.68,Month-to-month,Bank,900186,2024-01-01,True
187,12,87.15,Month-to-month,Card,900187,2024-01-01,False
188,6,107.41,Month-to-month,Bank,900188,2024-01-01,False
189,41,104.67,Two year,Cash,900189,2024-01-01,False
190,57,116.93,Two year,Cash,900190,2024-01-01,False
191,69,39.65,Two year,Card,900191,2024-01-01,False
192,62,92.74,Month-to-month,Bank,900192,2024-01-01,False
193,46,71.05,Two year,Card,900193,2024-01-01,False
194,36,85.95,Month-to-month,Cash,900194,2024-01-01,False
195,3,61.88,Two year,Cash,900195,2024-01-01,False
196,24,24.36,One year,Bank,900196,2024-01-01,False
197,16,97.0,Two year,Bank,900197,2024-01-01,True
198,48,71.74,Month-to-month,Cash,900198,2024-01-01,False
199,66,74.25,Two year,Bank,900199,2024-01-01,False
200,38,60.2,Two year,Card,900200,2024-01-01,False
201,33,68.26,Two year,Cash,900201,2024-01-01,False
202,28,92.93,One year,Cash,900202,2024-01-01,False
203,40,65.5,Month-to-month,Bank,900203,2024-01-01,False
204,27,102.6,One year,Cash,900204,2024-01-01,False
205,33,83.52,Two year,Card,900205,2024-01-01,False
206,35,74.84,One year,Bank,900206,2024-01-01,False
207,53,23.24,Two year,Cash,900207,2024-01-01,False
208,40,100.44,Month-to-month,Bank,900208,2024-01-01,False
209,44,67.22,Two year,Cash,900209,2024-01-01,False
210,24,68.77,One year,Card,900210,2024-01-01,False
211,35,109.63,Month-to-month,Cash,900211,2024-01-01,False
212,17,109.54,One year,Bank,900212,2024-01-01,False
213,37,62.12,One year,Card,900213,2024-01-01,False
214,24,91.28,One year,Bank,900214,2024-01-01,False
215,8,112.21,Month-to-month,Bank,900215,2024-01-01,True
216,5,105.17,Month-to-month,Bank,900216,2024-01-01,True
217,55,39.23,One year,Cash,900217,2024-01-01,False
218,16,31.14,One year,Bank,900218,2024-01-01,False
219,66,59.75,Two year,Bank,900219,2024-01-01,False
220,3,59.2,Month-to-month,Bank,900220,2024-01-01,True
221,2,93.57,Month-to-month,Bank,900221,2024-01-01,True
222,43,32.67,Month-to-month,Cash,900222,2024-01-01,False
223,25,40.69,Two year,Cash,900223,2024-01-01,False
224,30,49.38,Month-to-month,Cash,900224,2024-01-01,False
225,31,43.33,Two year,Cash,900225,2024-01-01,True
226,42,32.13,Two year,Bank,900226,2024-01-01,False
227,67,84.44,Two year,Card,900227,2024-01-01,False
228,66,66.02,Month-to-month,Card,900228,2024-01-01,False
229,57,51.13,One year,Bank,900229,2024-01-01,False
230,2,110.23,Month-to-month,Bank,900230,2024-01-01,True
231,52,44.04,One year,Card,900231,2024-01-01,False
232,43,78.72,One year,Cash,900232,2024-01-01,False
233,5,71.97,Two year,Bank,900233,2024-01-01,False
234,35,66.94,Two year,Bank,900234,2024-01-01,False
235,60,118.7,Month-to-month,Cash,900235,2024-01-01,False
236,49,66.19,Two year,Cash,900236,2024-01-01,False
237,23,97.79,One year,Cash,900237,2024-01-01,False
238,50,35.98,Month-to-month,Bank,900238,2024-01-01,True
239,57,113.88,Month-to-month,Bank,900239,2024-01-01,False
240,60,107.12,Two year,Card,900240,2024-01-01,False
241,9,29.35,Month-to-month,Card,900241,2024-01-01,True
242,48,20.48,One year,Cash,900242,2024-01-01,False
243,59,48.93,Two year,Bank,900243,2024-01-01,True
244,67,56.84,Two year,Card,900244,2024-01-01,False
245,13,71.06,One year,Card,900245,2024-01-01,False
246,48,49.02,Two year,Card,900246,2024-01-01,False
247,29,107.76,One year,Bank,900247,2024-01-01,False
248,72,76.34,One year,Card,900248,2024-01-01,False
249,48,104.34,One year,Cash,900249,2024-01-01,False
250,69,84.17,Month-to-month,Bank,900250,2024-01-01,False
251,15,53.86,One year,Card,900251,2024-01-01,False
252,47,42.23,Month-to-month,Card,900252,2024-01-01,False
253,26,86.48,One year,Bank,900253,2024-01-01,False
254,52,45.84,Month-to-month,Cash,900254,2024-01-01,False
255,59,36.46,One year,Cash,900255,2024-01-01,False
256,8,22.88,Month-to-month,Bank,900256,2024-01-01,True
257,52,87.57,One year,Cash,900257,2024-01-01,False
258,61,100.09,Two year,Card,900258,2024-01-01,False
259,9,84.52,Two year,Card,900259,2024-01-01,False
260,34,101.13,Two year,Card,900260,2024-01-01,False
261,22,85.87,One year,Bank,900261,2024-01-01,False
262,71,73.42,Two year,Bank,900262,2024-01-01,False
263,15,33.48,One year,Bank,900263,2024-01-01,False
264,26,74.62,Two year,Cash,900264,2024-01-01,False
265,29,87.19,Two year,Bank,900265,2024-01-01,False
266,17,95.31,One year,Bank,900266,2024-01-01,False
267,58,74.98,Month-to-month,Card,900267,2024-01-01,False
268,14,28.08,Two year,Card,900268,2024-01-01,False
269,66,92.81,One year,Card,900269,2024-01-01,True
270,23,110.57,Two year,Card,900270,2024-01-01,False
271,3,81.86,Month-to-month,Bank,900271,2024-01-01,True
272,12,103.02,Two year,Bank,900272,2024-01-01,False
273,69,43.87,Month-to-month,Card,900273,2024-01-01,False
274,41,109.86,One year,Cash,900274,2024-01-01,False
275,4,33.17,One year,Card,900275,2024-01-01,False
276,10,22.25,Two year,Card,900276,2024-01-01,False
277,7,35.97,One year,Cash,900277,2024-01-01,False
278,36,50.07,Two year,Card,900278,2024-01-01,False
279,27,118.98,One year,Cash,900279,2024-01-01,True
280,36,75.31,Month-to-month,Card,900280,2024-01-01,False
281,37,42.77,Month-to-month,Cash,900281,2024-01-01,False
282,71,68.4,Two year,Card,900282,2024-01-01,False
283,49,89.93,One year,Bank,900283,2024-01-01,False
284,59,102.95,Month-to-month,Bank,900284,2024-01-01,False
285,35,94.49,Two year,Card,900285,2024-01-01,False
286,18,89.5,One year,Card,900286,2024-01-01,False
287,29,29.5,One year,Bank,900287,2024-01-01,False
288,60,70.98,Two year,Bank,900288,2024-01-01,False
289,4,82.42,Two year,Cash,900289,2024-01-01,False
290,46,60.12,Month-to-month,Bank,900290,2024-01-01,False
291,64,93.22,Two year,Bank,900291,2024-01-01,False
292,21,72.46,Month-to-month,Bank,900292,2024-01-01,False
293,24,67.18,Two year,Card,900293,2024-01-01,False
294,26,85.37,Month-to-month,Bank,900294,2024-01-01,False
295,13,46.37,One year,Cash,900295,2024-01-01,False
296,16,68.24,One year,Cash,900296,2024-01-01,False
297,28,51.57,Month-to-month,Bank,900297,2024-01-01,False
298,33,99.31,Month-to-month,Cash,900298,2024-01-01,False
299,71,80.15,Two year,Card,900299,2024-01-01,False
300,22,49.21,Month-to-month,Cash,900300,2024-01-01,False
301,56,101.52,One year,Cash,900301,2024-01-01,False
302,56,38.91,Month-to-month,Card,900302,2024-01-01,False
303,53,37.23,Month-to-month,Bank,900303,2024-01-01,True
304,29,84.44,One year,Bank,900304,2024-01-01,False
305,36,34.89,Month-to-month,Cash,900305,2024-01-01,False
306,25,36.13,Two year,Cash,900306,2024-01-01,False
307,25,63.97,Two year,Bank,900307,2024-01-01,False
308,13,21.67,Month-to-month,Bank,900308,2024-01-01,False
309,5,108.95,Two year,Cash,900309,2024-01-01,False
310,14,73.79,Month-to-month,Bank,900310,2024-01-01,False
311,30,113.95,Month-to-month,Cash,900311,2024-01-01,False
312,45,57.16,One year,Card,900312,2024-01-01,True
313,21,89.13,Month-to-month,Bank,900313,2024-01-01,False
314,71,101.25,Month-to-month,Card,900314,2024-01-01,False
315,7,39.74,Month-to-month,Card,900315,2024-01-01,True
316,33,45.27,Month-to-month,Bank,900316,2024-01-01,False
317,63,38.24,Month-to-month,Bank,900317,2024-01-01,False
318,60,42.32,Month-to-month,Cash,900318,2024-01-01,False
319,53,31.41,Month-to-month,Card,900319,2024-01-01,False
320,15,52.93,Month-to-month,Bank,900320,2024-01-01,False
321,63,98.03,Month-to-month,Card,900321,2024-01-01,False
322,45,23.67,One year,Bank,900322,2024-01-01,False
323,69,59.25,One year,Bank,900323,2024-01-01,False
324,10,81.87,Two year,Cash,900324,2024-01-01,False
325,57,87.68,Two year,Cash,900325,2024-01-01,False
326,61,47.45,One year,Bank,900326,2024-01-01,False
327,28,86.09,Two year,Card,900327,2024-01-01,False
328,60,115.28,Month-to-month,Cash,900328,2024-01-01,False
329,66,106.47,Month-to-month,Cash,900329,2024-01-01,False
330,48,109.92,One year,Card,900330,2024-01-01,False
331,2,45.89,One year,Cash,900331,2024-01-01,False
332,21,104.31,One year,Card,900332,2024-01-01,False
333,39,63.4,Two year,Cash,900333,2024-01-01,False
334,27,34.27,One year,Cash,900334,2024-01-01,False
335,1,85.78,Month-to-month,Bank,900335,2024-01-01,True
336,57,92.02,Two year,Cash,900336,2024-01-01,False
337,30,53.67,Month-to-month,Card,900337,2024-01-01,False
338,11,48.69,One year,Bank,900338,2024-01-01,False
339,70,88.84,Month-to-month,Card,900339,2024-01-01,False
340,12,93.11,Month-to-month,Bank,900340,2024-01-01,False
341,4,97.93,One year,Cash,900341,2024-01-01,False
342,23,81.62,Two year,Cash,900342,2024-01-01,False
343,54,109.51,Month-to-month,Cash,900343,2024-01-01,False
344,60,50.01,One year,Bank,900344,2024-01-01,False
345,14,63.53,Month-to-month,Bank,900345,2024-01-01,True
346,26,52.18,Two year,Cash,900346,2024-01-01,False
347,49,59.32,Two year,Bank,900347,2024-01-01,False
348,15,78.63,Two year,Bank,900348,2024-01-01,False
349,34,107.39,Month-to-month,Card,900349,2024-01-01,False
350,57,58.98,Two year,Bank,900350,2024-01-01,True
351,47,35.26,Two year,Card,900351,2024-01-01,False
352,55,34.87,One year,Card,900352,2024-01-01,True
353,16,76.09,One year,Card,900353,2024-01-01,False
354,5,81.39,Two year,Bank,900354,2024-01-01,False
355,57,91.03,Month-to-month,Card,900355,2024-01-01,False
356,14,60.51,Two year,Cash,900356,2024-01-01,False
357,3,101.06,One year,Card,900357,2024-01-01,False
358,61,28.87,Month-to-month,Card,900358,2024-01-01,True
359,65,42.25,Month-to-month,Card,900359,2024-01-01,False
360,71,39.45,Two year,Card,900360,2024-01-01,False
361,18,48.96,One year,Bank,900361,2024-01-01,False
362,33,78.6,One year,Card,900362,2024-01-01,False
363,13,74.31,Two year,Bank,900363,2024-01-01,False
364,40,79.76,Month-to-month,Card,900364,2024-01-01,False
365,55,26.4,Two year,Card,900365,2024-01-01,False
366,36,87.76,One year,Card,900366,2024-01-01,False
367,56,22.14,One year,Cash,900367,2024-01-01,False
368,42,49.91,One year,Cash,900368,2024-01-01,False
369,66,28.56,Two year,Bank,900369,2024-01-01,False
370,44,42.89,Month-to-month,Bank,900370,2024-01-01,False
371,66,103.25,One year,Cash,900371,2024-01-01,True
372,40,57.39,One year,Cash,900372,2024-01-01,False
373,36,79.51,Two year,Card,900373,2024-01-01,False
374,56,114.33,One year,Cash,900374,2024-01-01,False
375,27,33.49,Two year,Cash,900375,2024-01-01,False
376,17,100.97,Two year,Card,900376,2024-01-01,False
377,11,45.73,Two year,Card,900377,2024-01-01,False
378,47,45.91,Two year,Card,900378,2024-01-01,False
379,52,66.26,Two year,Cash,900379,2024-01-01,False
380,13,50.04,Month-to-month,Card,900380,2024-01-01,False
381,61,84.2,Two year,Cash,900381,2024-01-01,False
382,54,24.31,Month-to-month,Bank,900382,2024-01-01,False
383,51,88.52,Month-to-month,Bank,900383,2024-01-01,False
384,72,94.04,Two year,Bank,900384,2024-01-01,False
385,52,85.84,One year,Cash,900385,2024-01-01,False
386,51,38.79,Month-to-month,Cash,900386,2024-01-01,False
387,44,119.26,One year,Card,900387,2024-01-01,False
388,11,44.07,Two year,Card,900388,2024-01-01,False
389,72,113.86,One year,Bank,900389,2024-01-01,True
390,59,67.53,One year,Cash,900390,2024-01-01,False
391,48,118.39,Month-to-month,Cash,900391,2024-01-01,False
392,23,37.03,Month-to-month,Cash,900392,2024-01-01,False
393,68,41.2,One year,Card,900393,2024-01-01,False
394,68,35.48,Two year,Cash,900394,2024-01-01,False
395,29,117.92,One year,Bank,900395,2024-01-01,False
396,39,28.21,Month-to-month,Bank,900396,2024-01-01,False
397,2,114.92,Month-to-month,Bank,900397,2024-01-01,True
398,60,21.26,Two year,Bank,900398,2024-01-01,False
399,1,29.39,Month-to-month,Bank,900399,2024-01-01,True
400,33,44.05,Two year,Card,900400,2024-01-01,False
